label,"Total Population"
2020,4105267
2019,4076246
2018,4105493
2017,4154213
2016,4190669
2015,4225316
2014,4246809
2013,4262140
2012,4275984
2011,4289857
2010,4302847
2009,4309796
2008,4311967
2007,4313530
2006,4312487
2005,4310861
2004,4305725
2003,4305384
2002,4305494
2001,4295406
2000,4497735
1999,4527460
1998,4536812
1997,4533028
1996,4581167
1995,4658893
1994,4645155
1993,4555771
1992,4595865
1991,4782179
1990,4772556
1989,4761965
1988,4748450
1987,4731041
1986,4711852
1985,4690983
1984,4669587
1983,4646921
1982,4621548
1981,4601469
1980,4598095
1979,4591460
1978,4570709
1977,4548432
1976,4523436
1975,4500727
1974,4480592
1973,4459729
1972,4441399
1971,4421151
1970,4403352
1969,4379627
1968,4351629
1967,4325736
1966,4295665
1965,4266180
1964,4239572
1963,4211778
1962,4181645
1961,4152939
1960,4127422
