label,"Total Population"
2020,5792202
2019,5806081
2018,5781190
2017,5748769
2016,5707251
2015,5659715
2014,5627235
2013,5602628
2012,5580516
2011,5560628
2010,5534738
2009,5511451
2008,5475791
2007,5447084
2006,5427459
2005,5411405
2004,5397640
2003,5383507
2002,5368354
2001,5349212
2000,5330020
1999,5313577
1998,5294860
1997,5275121
1996,5251027
1995,5215718
1994,5196642
1993,5180614
1992,5162126
1991,5146469
1990,5135409
1989,5129778
1988,5129254
1987,5124794
1986,5116273
1985,5111108
1984,5112130
1983,5116464
1982,5119155
1981,5123989
1980,5122065
1979,5111537
1978,5096959
1977,5079879
1976,5065313
1975,5054410
1974,5036184
1973,5007538
1972,4975653
1971,4950598
1970,4906916
1969,4876803
1968,4852962
1967,4817746
1966,4777015
1965,4741008
1964,4703136
1963,4665829
1962,4629624
1961,4593750
1960,4565455
