label,"Total Population"
2020,5540720
2019,5517919
2018,5513130
2017,5503297
2016,5487308
2015,5471753
2014,5451270
2013,5426674
2012,5401267
2011,5375276
2010,5351427
2009,5326314
2008,5300484
2007,5276955
2006,5255580
2005,5236611
2004,5219732
2003,5206295
2002,5194901
2001,5181115
2000,5171302
1999,5159646
1998,5147349
1997,5132320
1996,5116826
1995,5098754
1994,5077912
1993,5054982
1992,5029002
1991,4998478
1990,4974383
1989,4954359
1988,4938602
1987,4925644
1986,4910664
1985,4893748
1984,4869858
1983,4841715
1982,4812150
1981,4787778
1980,4771292
1979,4758088
1978,4746967
1977,4730836
1976,4720492
1975,4702387
1974,4678761
1973,4653401
1972,4625912
1971,4598336
1970,4614277
1969,4633292
1968,4619645
1967,4591842
1966,4569896
1965,4557567
1964,4539519
1963,4507098
1962,4475787
1961,4446222
1960,4413046
