label,"Total Population"
2020,4937786
2019,4904240
2018,4830392
2017,4784383
2016,4726286
2015,4677627
2014,4637852
2013,4609779
2012,4589287
2011,4570881
2010,4549428
2009,4521322
2008,4457765
2007,4340118
2006,4208156
2005,4111672
2004,4028851
2003,3964191
2002,3899702
2001,3832783
2000,3777565
1999,3732006
1998,3693386
1997,3654955
1996,3620065
1995,3597617
1994,3583154
1993,3569367
1992,3547492
1991,3520977
1990,3506970
1989,3515048
1988,3534850
1987,3545263
1986,3534117
1985,3542046
1984,3522800
1983,3498400
1982,3473200
1981,3432800
1980,3392800
1979,3354700
1978,3303500
1977,3260900
1976,3215200
1975,3163900
1974,3111100
1973,3060800
1972,3012900
1971,2971200
1970,2943300
1969,2922000
1968,2909100
1967,2895800
1966,2881800
1965,2872800
1964,2860300
1963,2845000
1962,2827100
1961,2821700
1960,2835500
