label,"Total Population"
2020,5459642
2019,5450421
2018,5443120
2017,5435343
2016,5426252
2015,5421349
2014,5415949
2013,5410836
2012,5404322
2011,5392446
2010,5390410
2009,5382401
2008,5376064
2007,5373180
2006,5372928
2005,5372685
2004,5371875
2003,5374873
2002,5378951
2001,5378783
2000,5398657
1999,5393382
1998,5387650
1997,5378932
1996,5367790
1995,5356207
1994,5336455
1993,5314155
1992,5295877
1991,5310711
1990,5287663
1989,5264220
1988,5236972
1987,5208708
1986,5178967
1985,5144568
1984,5109626
1983,5074316
1982,5035881
1981,4996329
1980,4963301
1979,4914644
1978,4865605
1977,4815396
1976,4763617
1975,4714593
1974,4664653
1973,4618236
1972,4575007
1971,4539890
1970,4536555
1969,4500659
1968,4467170
1967,4431564
1966,4391768
1965,4350198
1964,4304484
1963,4259549
1962,4216827
1961,4166507
1960,3969682
