Area,Item,Element,Year,Unit,Value,Flag,Total Population
Croatia,Raw milk of cattle,Gross Production Index Number (2014-2016 = 100),1992,index,102.34,E,4595865
Croatia,Raw milk of sheep,Gross Production Index Number (2014-2016 = 100),1992,index,75.86,E,4595865
Croatia,Raw milk of cattle,Gross Production Index Number (2014-2016 = 100),1993,index,89.68,E,4555771
Croatia,Raw milk of sheep,Gross Production Index Number (2014-2016 = 100),1993,index,63.77,E,4555771
Croatia,Raw milk of cattle,Gross Production Index Number (2014-2016 = 100),1994,index,86.69,E,4645155
Croatia,Raw milk of sheep,Gross Production Index Number (2014-2016 = 100),1994,index,82.58,E,4645155
Croatia,Raw milk of cattle,Gross Production Index Number (2014-2016 = 100),1995,index,85.8,E,4658893
Croatia,Raw milk of sheep,Gross Production Index Number (2014-2016 = 100),1995,index,61.28,E,4658893
Croatia,Raw milk of cattle,Gross Production Index Number (2014-2016 = 100),1996,index,89.82,E,4581167
Croatia,Raw milk of sheep,Gross Production Index Number (2014-2016 = 100),1996,index,68.75,E,4581167
Croatia,Raw milk of cattle,Gross Production Index Number (2014-2016 = 100),1997,index,89.89,E,4533028
Croatia,Raw milk of sheep,Gross Production Index Number (2014-2016 = 100),1997,index,84.64,E,4533028
Croatia,Raw milk of cattle,Gross Production Index Number (2014-2016 = 100),1998,index,91.69,E,4536812
Croatia,Raw milk of sheep,Gross Production Index Number (2014-2016 = 100),1998,index,90.58,E,4536812
Croatia,Raw milk of cattle,Gross Production Index Number (2014-2016 = 100),1999,index,89.91,E,4527460
Croatia,Raw milk of sheep,Gross Production Index Number (2014-2016 = 100),1999,index,111.22,E,4527460
Croatia,Raw milk of cattle,Gross Production Index Number (2014-2016 = 100),2000,index,87.67,E,4497735
Croatia,Raw milk of sheep,Gross Production Index Number (2014-2016 = 100),2000,index,125.45,E,4497735
Croatia,Raw milk of cattle,Gross Production Index Number (2014-2016 = 100),2001,index,94.61,E,4295406
Croatia,Raw milk of sheep,Gross Production Index Number (2014-2016 = 100),2001,index,118.41,E,4295406
Croatia,Raw milk of cattle,Gross Production Index Number (2014-2016 = 100),2002,index,100.61,E,4305494
Croatia,Raw milk of sheep,Gross Production Index Number (2014-2016 = 100),2002,index,136.01,E,4305494
Croatia,Raw milk of cattle,Gross Production Index Number (2014-2016 = 100),2003,index,95.72,E,4305384
Croatia,Raw milk of sheep,Gross Production Index Number (2014-2016 = 100),2003,index,106.86,E,4305384
Croatia,Raw milk of cattle,Gross Production Index Number (2014-2016 = 100),2004,index,98.88,E,4305725
Croatia,Raw milk of goats,Gross Production Index Number (2014-2016 = 100),2004,index,169.02,E,4305725
Croatia,Raw milk of sheep,Gross Production Index Number (2014-2016 = 100),2004,index,118.8,E,4305725
Croatia,Raw milk of cattle,Gross Production Index Number (2014-2016 = 100),2005,index,114.25,E,4310861
Croatia,Raw milk of goats,Gross Production Index Number (2014-2016 = 100),2005,index,172.6,E,4310861
Croatia,Raw milk of sheep,Gross Production Index Number (2014-2016 = 100),2005,index,96.71,E,4310861
Croatia,Raw milk of cattle,Gross Production Index Number (2014-2016 = 100),2006,index,122.62,E,4312487
Croatia,Raw milk of goats,Gross Production Index Number (2014-2016 = 100),2006,index,162.2,E,4312487
Croatia,Raw milk of sheep,Gross Production Index Number (2014-2016 = 100),2006,index,100.41,E,4312487
Croatia,Raw milk of cattle,Gross Production Index Number (2014-2016 = 100),2007,index,124.15,E,4313530
Croatia,Raw milk of goats,Gross Production Index Number (2014-2016 = 100),2007,index,175.8,E,4313530
Croatia,Raw milk of sheep,Gross Production Index Number (2014-2016 = 100),2007,index,94.94,E,4313530
Croatia,Raw milk of cattle,Gross Production Index Number (2014-2016 = 100),2008,index,119.29,E,4311967
Croatia,Raw milk of goats,Gross Production Index Number (2014-2016 = 100),2008,index,159.28,E,4311967
Croatia,Raw milk of sheep,Gross Production Index Number (2014-2016 = 100),2008,index,113.04,E,4311967
Croatia,Raw milk of cattle,Gross Production Index Number (2014-2016 = 100),2009,index,115.44,E,4309796
Croatia,Raw milk of goats,Gross Production Index Number (2014-2016 = 100),2009,index,148.88,E,4309796
Croatia,Raw milk of sheep,Gross Production Index Number (2014-2016 = 100),2009,index,104.35,E,4309796
Croatia,Raw milk of cattle,Gross Production Index Number (2014-2016 = 100),2010,index,111.11,E,4302847
Croatia,Raw milk of goats,Gross Production Index Number (2014-2016 = 100),2010,index,109.43,E,4302847
Croatia,Raw milk of sheep,Gross Production Index Number (2014-2016 = 100),2010,index,88.94,E,4302847
Croatia,Raw milk of cattle,Gross Production Index Number (2014-2016 = 100),2011,index,112.7,E,4289857
Croatia,Raw milk of goats,Gross Production Index Number (2014-2016 = 100),2011,index,113.06,E,4289857
Croatia,Raw milk of sheep,Gross Production Index Number (2014-2016 = 100),2011,index,162.32,E,4289857
Croatia,Raw milk of cattle,Gross Production Index Number (2014-2016 = 100),2012,index,116.96,E,4275984
Croatia,Raw milk of goats,Gross Production Index Number (2014-2016 = 100),2012,index,140.33,E,4275984
Croatia,Raw milk of sheep,Gross Production Index Number (2014-2016 = 100),2012,index,83.07,E,4275984
Croatia,Raw milk of cattle,Gross Production Index Number (2014-2016 = 100),2013,index,103.59,E,4262140
Croatia,Raw milk of goats,Gross Production Index Number (2014-2016 = 100),2013,index,144.4,E,4262140
